impl,kernel,N,iter,gpu_ms,cpu_wall_ms,tflops
oxide-tiled,safe,4096,8,17.260416,17.485434,7.962667
oxide-tiled,safe,4096,9,17.83696,18.077524,7.70529
oxide-tiled,unchecked,4096,0,16.928225,17.422970,8.118923
oxide-tiled,unchecked,4096,1,17.374847,17.637263,7.910225
oxide-tiled,unchecked,4096,2,17.371136,17.604051,7.911915
oxide-tiled,unchecked,4096,3,17.460257,17.696578,7.871531
oxide-tiled,unchecked,4096,4,16.688768,16.913542,8.235416
oxide-tiled,unchecked,4096,5,18.5592,18.817372,7.405435
oxide-tiled,unchecked,4096,6,15.882464,16.106423,8.653503
oxide-tiled,unchecked,4096,7,17.795424,18.182034,7.723275
oxide-tiled,unchecked,4096,8,17.024033,17.279442,8.073231
oxide-tiled,unchecked,4096,9,17.157663,17.452032,8.010354
